feature,shap_importance,compartment,feature_type
Cytoplasm_RadialDistribution_FracAtD_mito_tubeness_10of16,0.0031083114932075008,Cytoplasm,RadialDistribution
Cytoplasm_Granularity_3_Mito,0.0031058500320796157,Cytoplasm,Granularity
Cytoplasm_RadialDistribution_FracAtD_Mito_1of4,0.0031029219399637703,Cytoplasm,RadialDistribution
Cells_Texture_InfoMeas2_RNA_10_01_256,0.00310050164324431,Cells,Texture
Nuclei_Correlation_K_ER_Mito,0.0030912504785997694,Nuclei,Correlation
Cells_Texture_InfoMeas1_ER_10_00_256,0.003087562049830532,Cells,Texture
Nuclei_RadialDistribution_MeanFrac_Mito_1of4,0.0030853021742223066,Nuclei,RadialDistribution
Cytoplasm_Granularity_15_RNA,0.0030776716614491304,Cytoplasm,Granularity
Nuclei_Texture_InfoMeas1_ER_3_02_256,0.0030751853022281594,Nuclei,Texture
Cells_RadialDistribution_FracAtD_mito_tubeness_11of16,0.003067014213052711,Cells,RadialDistribution
Nuclei_Texture_Correlation_Mito_10_00_256,0.0030663874459839592,Nuclei,Texture
Cells_RadialDistribution_FracAtD_mito_tubeness_4of16,0.0030617350890647034,Cells,RadialDistribution
Cells_RadialDistribution_RadialCV_mito_tubeness_19of20,0.003060875903839977,Cells,RadialDistribution
Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_11of16,0.0030588827929958437,Cytoplasm,RadialDistribution
Cytoplasm_Granularity_9_AGP,0.003056088689063472,Cytoplasm,Granularity
Cells_Intensity_MaxIntensityEdge_AGP,0.003054782379424848,Cells,Intensity
Cytoplasm_Intensity_UpperQuartileIntensity_ER,0.0030545782692154586,Cytoplasm,Intensity
Nuclei_Granularity_11_Mito,0.0030536601595356062,Nuclei,Granularity
Cells_Texture_InfoMeas1_ER_10_03_256,0.003052859581412122,Cells,Texture
Cells_RadialDistribution_FracAtD_ER_1of4,0.003040270398497731,Cells,RadialDistribution
Cytoplasm_Texture_Correlation_Mito_3_01_256,0.0030351247206194137,Cytoplasm,Texture
Nuclei_ObjectSkeleton_NumberBranchEnds_mito_skel,0.0030322281317369613,Nuclei,ObjectSkeleton
Cytoplasm_Granularity_7_AGP,0.0030257161722907506,Cytoplasm,Granularity
Nuclei_Texture_SumVariance_Mito_10_03_256,0.003011824226123281,Nuclei,Texture
Cells_Intensity_MeanIntensity_AGP,0.0030103933537507796,Cells,Intensity
Cells_Correlation_K_ER_Mito,0.0030074575874589624,Cells,Correlation
Cytoplasm_Intensity_MeanIntensity_ER,0.002981787739304959,Cytoplasm,Intensity
Cells_Intensity_MinIntensity_ER,0.0029799438990968543,Cells,Intensity
Nuclei_Texture_SumVariance_DNA_5_00_256,0.002979386041863888,Nuclei,Texture
Cells_Intensity_StdIntensityEdge_RNA,0.0029691059814240363,Cells,Intensity
Nuclei_Intensity_MaxIntensity_DNA,0.0029580867386487498,Nuclei,Intensity
Cells_Correlation_K_RNA_DNA,0.002956553557170472,Cells,Correlation
Nuclei_Texture_Contrast_DNA_3_02_256,0.0029552634126490114,Nuclei,Texture
Cytoplasm_Correlation_RWC_DNA_AGP,0.0029531597589708067,Cytoplasm,Correlation
Cells_Texture_SumEntropy_DNA_3_00_256,0.0029524353109002277,Cells,Texture
