feature,shap_importance,compartment,feature_type
Nuclei_AreaShape_Zernike_8_6,0.0026132362418411505,Nuclei,AreaShape
Cells_RadialDistribution_FracAtD_mito_tubeness_1of16,0.0026014385907910764,Cells,RadialDistribution
Cytoplasm_RadialDistribution_RadialCV_AGP_4of4,0.002600674345560817,Cytoplasm,RadialDistribution
Cytoplasm_Texture_Correlation_ER_10_01_256,0.0025971080144518055,Cytoplasm,Texture
Cells_RadialDistribution_FracAtD_mito_tubeness_14of20,0.0025962827874380827,Cells,RadialDistribution
Nuclei_Texture_Correlation_RNA_10_00_256,0.002591393593413938,Nuclei,Texture
Cells_Granularity_13_Mito,0.002580280036509066,Cells,Granularity
Cells_RadialDistribution_MeanFrac_mito_tubeness_16of16,0.0025789418815630985,Cells,RadialDistribution
Nuclei_Texture_InfoMeas2_AGP_3_00_256,0.002572260865175784,Nuclei,Texture
Cytoplasm_Intensity_MedianIntensity_ER,0.0025697639084371207,Cytoplasm,Intensity
Cells_RadialDistribution_MeanFrac_mito_tubeness_20of20,0.002569419113065773,Cells,RadialDistribution
Nuclei_Correlation_RWC_RNA_Mito,0.002559271375555129,Nuclei,Correlation
Cells_Intensity_IntegratedIntensityEdge_RNA,0.0025569955294096353,Cells,Intensity
Cytoplasm_Correlation_K_DNA_AGP,0.002554242270873926,Cytoplasm,Correlation
Cells_Correlation_RWC_Mito_AGP,0.0025515510177397767,Cells,Correlation
Nuclei_Texture_Variance_Mito_5_01_256,0.0025508655571944215,Nuclei,Texture
Cytoplasm_Granularity_16_Mito,0.0025485309952273383,Cytoplasm,Granularity
Nuclei_Granularity_5_Mito,0.0025468067057538846,Nuclei,Granularity
Nuclei_Texture_SumVariance_Mito_10_00_256,0.002544004458354964,Nuclei,Texture
Cytoplasm_Intensity_MassDisplacement_ER,0.0025370110959582752,Cytoplasm,Intensity
Nuclei_Texture_SumVariance_Mito_5_01_256,0.0025350396351963614,Nuclei,Texture
Cytoplasm_AreaShape_Compactness,0.0025205574195050367,Cytoplasm,AreaShape
