drug_name,pathway,shap_morpho_total,shap_morgan_total,morpho_pct
Dacarbazine,Other,0.0009288281116017993,0.0001513522008569513,85.98824667407266
Sabutoclax,Apoptosis regulation,0.0024536104673942983,5.692612641771885e-05,97.73251158505195
MG-132,Protein stability and degradation,0.003233040059454567,7.377504278615601e-05,97.76900006486103
Ulixertinib,ERK MAPK signaling,0.0009469095159980951,5.3348936855620796e-05,94.66648477666773
ABT737,Apoptosis regulation,0.0007752702825175036,0.00013699203363230165,84.9832629050737
Afuresertib,PI3K/MTOR signaling,0.0017750047022177787,0.00011154576051681858,94.08731636284298
AZD3759,EGFR signaling,0.0006516891254694929,0.00010717004675696935,85.87747889472868
AZD5363,"Other, kinases",0.0008009317233510481,7.458908954440717e-05,91.48060349385277
AZD8186,PI3K/MTOR signaling,0.0007303593817325132,7.070373729194546e-05,91.1737620154016
Ipatasertib,PI3K/MTOR signaling,0.0008672375302383291,8.792744724328908e-05,90.79452771864418
GDC0810,Hormone-related,0.000995882499636574,0.00012150419133384778,89.12603914869216
Savolitinib,RTK signaling,0.0008618759493845818,0.00012079003787253493,87.70792523208296
WEHI-539,Apoptosis regulation,0.0008353412091985987,6.838625889597685e-05,92.43286706332354
AGK2,Chromatin histone acetylation,0.0011770951308456626,0.00014291072428530144,89.173478001647
BIBR-1532,Genome integrity,0.0007685325206677478,0.00012279984821532246,86.22288918226955
AMG-319,PI3K/MTOR signaling,0.0008913518878509492,0.00014370987635024986,86.1158163386359
Vinorelbine,Mitosis,0.0032279233356132557,7.961234458259115e-05,97.59300118637337
VX-11e,ERK MAPK signaling,0.0007008152319578988,5.645431913430324e-05,92.54501662546978
AZ6102,WNT signaling,0.0006248541068154216,6.687805253321533e-05,90.33179943575409
5-azacytidine,Other,0.0011265318419551998,0.0001034829271697906,91.58685490879053
CPI-637,Chromatin histone methylation,0.0007195962258458564,7.636854675656217e-05,90.4055368547437
AZD6482,PI3K/MTOR signaling,0.0007418551838990457,0.0001241893747214258,85.66016338475147
AT13148,PI3K/MTOR signaling,0.0014211099950116623,5.4701841607455916e-05,96.29344065075597
BMS-754807,IGF1R signaling,0.001161919061766173,5.61957842424301e-05,95.38665960549066
JQ1,Chromatin other,0.0011154260027722565,7.99357681526558e-05,93.31283883281583
SGC0946,Chromatin histone methylation,0.0005015048189521995,0.00014038655313909632,78.12923506329211
GSK2830371,Other,0.0012984344556310516,0.00023015989670574673,84.94303630299981
glutathione,Other,0.0021587870346378023,0.00044654076614191775,82.86047667367318
N-acetyl cysteine,Metabolism,0.0020052389454564426,0.0005507568007969664,78.45235847499869
